Número de cotización,Fecha de creación,Estado,Side Cliente,Creado por,Número de Cuenta,Monto intercambio,Monto Pagado,Moneda,Precio,Comisión,Fecha de actualización,Transacción Id,Tipo de servicio,OMS
8,"15/04/2025 09:01:55, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.38,5.00,BOB,13.21,0.03,15/04/2025 09:02:17,207681530,S-001,Banexcoin Bolivia
9,"15/04/2025 09:38:18, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.38,5.00,BOB,13.21,0.03,15/04/2025 09:38:37,207692950,S-001,Banexcoin Bolivia
10,"15/04/2025 09:46:44, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.38,5.00,BOB,13.21,0.03,15/04/2025 09:47:45,6844991790,S-001,Banexcoin Bolivia
12,"15/04/2025 13:58:35, UTC -04:00",Completed,Sell,CristinaSuarez852025,10003,0.15,2.00,BOB,13.21,0.03,15/04/2025 13:59:03,6846097010,S-001,Banexcoin Bolivia
16,"15/04/2025 20:08:39, UTC -04:00",Completed,Sell,CristinaSuarez852025,10003,0.15,2.00,BOB,13.21,0.03,15/04/2025 20:09:15,6847729200,S-001,Banexcoin Bolivia
17,"15/04/2025 20:11:28, UTC -04:00",Completed,Sell,CristinaSuarez852025,10003,0.38,5.00,BOB,13.21,0.03,15/04/2025 20:12:07,6847739960,S-001,Banexcoin Bolivia
22,"16/04/2025 16:18:12, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,1.67,22.00,BOB,13.21,0.05,16/04/2025 16:18:37,208188070,S-001,Banexcoin Bolivia
23,"16/04/2025 18:44:19, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.15,2.00,BOB,13.21,0.03,16/04/2025 18:44:50,208241610,S-001,Banexcoin Bolivia
24,"16/04/2025 18:50:00, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.08,1.00,BOB,13.21,0.03,16/04/2025 18:50:18,208243600,S-001,Banexcoin Bolivia
25,"16/04/2025 18:52:16, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.38,5.00,BOB,13.21,0.03,16/04/2025 18:52:30,208244320,S-001,Banexcoin Bolivia
26,"18/04/2025 13:02:27, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.23,3.00,BOB,13.21,0.03,18/04/2025 13:02:57,6856598730,S-001,Banexcoin Bolivia
27,"18/04/2025 13:04:19, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.15,2.00,BOB,13.21,0.03,18/04/2025 13:04:33,208700220,S-001,Banexcoin Bolivia
28,"18/04/2025 13:06:39, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.23,3.00,BOB,13.21,0.03,18/04/2025 13:06:52,6856608790,S-001,Banexcoin Bolivia
29,"18/04/2025 13:23:53, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,3.79,50.00,BOB,13.21,0.11,18/04/2025 13:24:04,208703410,S-001,Banexcoin Bolivia
34,"18/04/2025 14:08:15, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.38,5.00,BOB,13.21,0.03,18/04/2025 14:08:28,208710540,S-001,Banexcoin Bolivia
38,"18/04/2025 17:14:47, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.76,10.00,BOB,13.21,0.03,18/04/2025 17:15:00,208741540,S-001,Banexcoin Bolivia
41,"18/04/2025 17:20:59, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.76,10.00,BOB,13.21,0.03,18/04/2025 17:21:10,208742700,S-001,Banexcoin Bolivia
